newsID,title,label,sentenceNo,sentenceContent,sentenceSize
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,1,[앵커] 최근 식품업계에서는 '건강'을 강조한 제품들을 속속 선보이고 있습니다.,44
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,2,건강한 식습관으로 노화 속도를 늦추는 '저속노화' 열풍이 부는 등 건강에 대한 소비자들의 관심이 크기 때문인데요.,63
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,3,반면 탄산음료 등 기호식품 소비는 줄어드는 추세입니다.,30
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,4,오주현 기자가 보도합니다.,14
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,5,"[기자] 호밀빵 위에 해바라기씨와 검정깨, 참깨 등이 가득 올려져 있습니다.",42
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,6,베이커리 프랜차이즈 파리바게뜨가 식이섬유와 단백질 등 영양성분이 풍부한 통곡물을 활용해 선보인 일명 '건강빵'입니다.,65
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,7,"<김연정/ 파리바게뜨 마케팅본부장> ""저속노화라는 트렌드가 있습니다.",38
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,8,"저희는 건강빵 시장이 커진다고 보고… 건강하면 맛이 없을 거라는 고정관념을 완전히 깨겠습니다."" 백미와 밀가루 등 정제 탄수화물 섭취를 줄이고, 식이섬유와 단백질, 건강한 지방을 섭취해 노화 속도를 늦추는, 이른바 '저속노화' 식단이 인기를 끌자, 제과 업계도 대응에 나선 겁니다.",157
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,9,오랜 기간 초콜릿 과자 등 어린 소비자들을 겨냥한 제품을 출시해 왔던 제과업계도 '영양 강화' 제품군을 늘리고 있습니다.,67
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,10,"롯데 웰푸드는 식사 대용 제과를 새롭게 선보였는데, 통곡물과 압착보리 등을 주원료로 삼고 당류와 포화지방은 줄였습니다.",66
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,11,"<이은희/인하대 소비자학과 교수> ""나이 드신 분들이든 젊은 사람들이든 건강에 대한 관심이 굉장히 크다고 볼 수가 있고요.",68
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,12,"공급자들이 건강 트렌드에 맞추어서 개발을 해서 출시하고 있는 상황이다… "" 건강식 수요는 늘어나는 반면, 탄산음료와 같은 기호식품 소비는 줄어드는 추세입니다.",88
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,13,"코카콜라와 칠성사이다를 판매하는 LG생활건강 음료 부문과 롯데칠성음료는 지난해 영업이익이 감소했는데, 탄산음료 주 소비층인 젊은 세대가 건강을 중시하며 소비를 줄였기 때문이라는 분석이 나옵니다.",108
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,14,"우리나라 국민의 평균 기대수명이 80세를 넘어선 가운데, 건강을 고려한 소비 트렌드는 앞으로도 이어질 전망입니다.",63
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,15,연합뉴스TV 오주현입니다.,14
LC_M09_2025-03-05_칠성 사이다_001,"""건강하게 먹자""…'저속노화' 열풍에 달라진 유통가",경제,16,(영상취재 문원철 정우현) #저속노화 #식품 #건강빵 #영양강화 연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23,67
